datetime,id,value
1604280600,6,0.0
1604280600,9,0.021
1604281500,2,0.02
1604281500,3,0.038
1604281500,5,0.029
1604281500,6,0.0
1604281500,9,0.079
1604282400,2,0.024
1604282400,3,0.038
1604282400,5,0.064
1604282400,6,0.0
1604282400,9,0.024
1604283300,2,0.011
1604283300,3,0.038
1604283300,5,0.023
1604283300,6,0.0
1604283300,9,0.015
1604284200,2,0.017
1604284200,3,0.038
1604284200,5,0.019
1604284200,6,0.0
1604284200,9,0.028
1604285100,2,0.023
1604285100,3,0.038
1604285100,5,0.038
1604285100,6,0.0
1604285100,9,0.028
1604286000,2,0.015
1604286000,3,0.038
1604286000,5,0.032
1604286000,6,0.0
1604286000,9,0.053
1604286900,2,0.012
1604286900,3,0.039
1604286900,5,0.015
1604286900,6,0.0
1604286900,9,0.0
1604287800,2,0.023
1604287800,3,0.038
1604287800,5,0.013
1604287800,6,0.0
1604287800,9,0.03
1604288700,2,0.018
1604288700,3,0.039
1604288700,5,0.027
1604288700,6,0.0
1604288700,9,0.004
1604289600,2,0.008
1604289600,3,0.038
1604289600,5,0.017
1604289600,6,0.0
1604289600,9,0.056
1604290500,2,0.023
1604290500,3,0.039
1604290500,5,0.015
1604290500,6,0.0
1604290500,9,0.014
1604291400,2,0.02
1604291400,3,0.038
1604291400,5,0.017
1604291400,6,0.0
1604291400,9,0.003
1604292300,2,0.008
1604292300,3,0.037
1604292300,5,0.034
1604292300,6,0.0
1604292300,9,0.031
1604293200,2,0.019
1604293200,3,0.038
1604293200,5,0.007
1604293200,6,0.0
1604293200,9,0.01
1604294100,2,0.022
1604294100,3,0.038
1604294100,5,0.011
1604294100,6,0.0
1604294100,9,0.061
1604295000,2,0.01
1604295000,3,0.038
1604295000,5,0.023
1604295000,6,0.0
1604295000,9,0.0
1604295900,2,0.016
1604295900,3,0.038
1604295900,5,0.033
1604295900,6,0.0
1604295900,9,0.018
1604296800,2,0.022
1604296800,3,0.038
1604296800,5,0.013
1604296800,6,0.0
1604296800,9,0.016
1604297700,2,0.013
1604297700,3,0.039
1604297700,5,0.006
1604297700,6,0.0
1604297700,9,0.024
1604298600,2,0.012
1604298600,3,0.038
1604298600,5,0.024
1604298600,6,0.0
1604298600,9,0.046
1604299500,2,0.034
1604299500,3,0.039
1604299500,5,0.023
1604299500,6,0.0
1604299500,9,0.0
1604300400,2,0.039
1604300400,3,0.038
1604300400,5,0.014
1604300400,6,0.0
1604300400,9,0.031
1604301300,2,0.024
1604301300,3,0.039
1604301300,5,0.013
1604301300,6,0.0
1604301300,9,0.0
1604302200,2,0.04
1604302200,3,0.038
1604302200,5,0.022
1604302200,6,0.0
1604302200,9,0.063
1604303100,2,0.037
1604303100,3,0.038
1604303100,5,0.016
1604303100,6,0.0
1604303100,9,0.006
1604304000,2,0.021
1604304000,3,0.038
1604304000,5,0.014
1604304000,6,0.0
1604304000,9,0.007
1604304900,2,0.025
1604304900,3,0.038
1604304900,5,0.013
1604304900,6,0.0
1604304900,9,0.025
1604305800,2,0.011
1604305800,3,0.026
1604305800,5,0.033
1604305800,6,0.0
1604305800,9,0.003
1604306700,2,0.024
1604306700,3,0.0
1604306700,5,0.011
1604306700,6,0.0
1604306700,9,0.069
1604307600,2,0.021
1604307600,3,0.0
1604307600,5,0.008
1604307600,6,0.0
1604307600,9,0.0
1604308500,2,0.009
1604308500,3,0.0
1604308500,5,0.013
1604308500,6,0.0
1604308500,9,0.016
1604309400,2,0.022
1604309400,3,0.0
1604309400,5,0.033
1604309400,6,0.0
1604309400,9,0.016
1604310300,2,0.022
1604310300,3,0.0
1604310300,5,0.017
1604310300,6,0.006
1604310300,9,0.0
1604311200,2,0.008
1604311200,3,0.0
1604311200,5,0.006
1604311200,6,0.005
1604311200,9,0.069
1604312100,2,0.019
1604312100,3,0.0
1604312100,5,0.009
1604312100,6,0.005
1604312100,9,0.0
1604313000,2,0.022
1604313000,3,0.0
1604313000,5,0.032
1604313000,6,0.005
1604313000,9,0.031
